Path ID,Step 1 Option,Step 2 Option,Step 3 Option,Step 4 Option,Step 1 Description,Step 2 Description,Step 3 Description,Step 4 Description
168,1C,2C,3B,4D,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
169,1C,2C,3C,4A,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Skip one month payment,"Take new loan Rs.20,000/month"
170,1C,2C,3C,4B,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Skip one month payment,Delay Master’s until current loan finished
171,1C,2C,3C,4C,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Skip one month payment,Seek scholarship (minimize loan)
172,1C,2C,3C,4D,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Skip one month payment,Drop plan to avoid over-debt
173,1C,2C,3D,4A,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
174,1C,2C,3D,4B,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Delay Master’s until current loan finished
175,1C,2C,3D,4C,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Seek scholarship (minimize loan)
176,1C,2C,3D,4D,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Drop plan to avoid over-debt
177,1C,2D,3A,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
178,1C,2D,3A,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
179,1C,2D,3A,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
180,1C,2D,3A,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
181,1C,2D,3B,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
182,1C,2D,3B,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
183,1C,2D,3B,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
184,1C,2D,3B,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
185,1C,2D,3C,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,"Take new loan Rs.20,000/month"
186,1C,2D,3C,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Delay Master’s until current loan finished
187,1C,2D,3C,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Seek scholarship (minimize loan)
188,1C,2D,3C,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Drop plan to avoid over-debt
189,1C,2D,3D,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
190,1C,2D,3D,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Delay Master’s until current loan finished
191,1C,2D,3D,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
192,1C,2D,3D,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Drop plan to avoid over-debt
